id,text,label
0,"無辜的眼 迎風而張, 抱不住的孩子 揮舞著手掌, 被遺忘的書上 小人兒自顧自笑著指向遠方, 車廂持續搖晃 打翻了好幾個人的不安, 河邊的野花記不住 竊聽到的失望, 等著的飛走的 那麼的相像, 悄悄的把鞋帶系好 自信的樣子, 門敞著縫隙 無情的時光在流淌, 回了嗎 回了呀光的縫隙, 累了吧 一路上過得怎樣, 無辜的眼 迎風而張, 抱不住的孩子 揮舞著手掌, 空蕩蕩的樹上 枯葉固執的掛著妄想何方, 雲身後的昏黃 揭穿了好幾顆心的迷惘, 雜亂的樓房太遮擋 不認輸的臉龐, 思念的追尋的 那麼的相像, 悄悄的把鞋帶系好 自信的樣子, 門敞著縫隙 無情的時光在流淌, 走了嗎 走了呀, 累了嗎 如果你覺得漫長, 一路上 若不是夢的那樣",sad
1,"你怎麼還在做夢 哪家男神對你玩壁咚, 你早該換換口味 看我耍帥拿著麥克風, 我的歌給你免費下載, 晨跑的時候清涼暢快, 你應該打打網球 而不是坐著跑車拉風, 我這種耿直男的品味 不玩虛偽不賣萌, 演唱會給你留最前排, 到關鍵時刻請你上臺, 趕快起來嗨, 太陽公公快出來, 我專治你的懶癌, 做個漂亮的女孩, 古靈精怪也可愛, 個性十足樂天派, 我很想陪你看海, 趕快起來嗨, 太陽公公會責怪, 我專治你的不快, 做個樂觀的女孩, 嘴嘟嘟的也可耐, 迷人的空氣劉海, 我很想叫你親愛",happy
2,"廖偉志余秀娟, 女你的愛 像沙漠的水, 解救命運的凌遲, 我的心 刻你的名字, 今生決心跟你, 男走千里 他鄉遇到你, 改變孤鸞二字, 我的心 從此只有你, 天邊伴相隨, 女我是永遠純潔的花蕊, 男我是抹乾的海水, 女有一日 我若變月娘, 男我會化作深更, 女今生我的感情只欠你, 男為你打拼吃苦我願意, 女有一日 我若變空氣, 男我會化作天星, 合陪你暗夜 永世不分開, ",happy
3,"是否你還會記得, 我多久沒聽說, 聽說別人講述你的經過, 我裝不清醒了, 寧願你不會深刻, 好過讓你難過, 我曾給你所有的溫柔, 可現在又去哪了, 我想要聽你的聲音, 可是沒有任何迴應, 就算遠遠地望著 看不清晰, 也好過杳無音訊, 你用過青春去篤定, 我卻沒還給你曾經, 就連最後的告別, 都沒說明, 是否你還會記得, 我多久沒聽說, 聽說別人講述你的經過, 我裝不清醒了, 寧願你不會深刻, 好過讓你難過, 我曾給你所有的溫柔, 可現在又去哪了, 我想要聽你的聲音, 可是沒有任何迴應, 就算遠遠地望著 看不清晰, 也好過杳無音訊, 你用過青春去篤定, 我卻沒還給你曾經, 就連最後的告別, 都沒說明, 我想要聽你的聲音, 可是沒有任何迴應, 就算遠遠地望著 看不清晰, 也好過杳無音訊, 你用過青春去篤定, 我卻沒還給你曾經, 就連最後的告別, 都沒說明",sad
5,"電影 陪你很久很久 宣傳曲, 有顆星 獨自的 一直在閃爍, 那是妳 那是我 仰望的夜空, 多久 多久以前的我, 一轉眼 怎麼早已過, 也哭過 也笑過 就已經足夠, 我相信 有一天 妳也會認同, 如果 還在回憶的漩渦, 就讓我們在那 時重逢, 我想到 最勇敢的是那年奮不顧身擁抱, 我想到 最幸褔的是那年夏天妳的微笑, 什麼都不重要 青春正美好的, 向全世界宣告, 我想到 最美好的是那年星空下的依靠, 我想到 最純真的是那年大雨中的奔跑, 什麼都不重要 只要妳我都很好, 那年勇敢的 我們, 也哭過 也笑過 就已經足夠, 我相信 有一天 妳也會認同, 如果 還在回憶的漩渦, 就讓我們在那 時重逢, 我想到 最勇敢的是那年奮不顧身擁抱, 我想到 最幸褔的是那年夏天妳的微笑, 什麼都不重要 青春正美好的, 向全世界宣告, 我想到 最美好的是那年星空下的依靠, 我想到 最純真的是那年大雨中的奔跑, 什麼都不重要 只要妳我都很好, 那年勇敢的 我們, 妳現在好嗎 過得快樂嗎 和從前一樣愛笑嗎, 回憶像是點點星光 藏著我們都沒的倔強, 我想到 最勇敢的是那年奮不顧身擁抱, 我想到 最幸褔的是那年夏天妳的微笑, 什麼都不重要 青春正美好的, 向全世界宣告, 我想到 最美好的是那年星空下的依靠, 我想到 最純真的是那年大雨中的奔跑, 什麼都不重要 只要妳我都很好, 那年勇敢的 我們",sad
8,"不得不承認 現實的殘忍, 說好的永遠 卻還是離分, 愛上你那天 就奮不顧身, 到最後竟然 傷我那狠, 愛到了盡頭 方知多愚鈍, 你許的承諾 是一紙空文, 只怪我當時 陷入的太深, 才被你拋棄 在冰冷紅塵, 你弄丟了一個視你如命的人, 你傷害了一顆深愛你的心, 如果早知道你把感情不當真, 我又何苦為你掏空了靈魂, 你弄丟了一個視你如命的人, 你辜負了陪你走過的冬春, 讓我余生還怎敢把愛相信, 只能緊緊封閉那扇愛的門, 愛到了盡頭 方知多愚鈍, 你許的承諾 是一紙空文, 只怪我當時 陷入的太深, 才被你拋棄 在冰冷紅塵, 你弄丟了一個視你如命的人, 你傷害了一顆深愛你的心, 如果早知道你把感情不當真, 我又何苦為你掏空了靈魂, 你弄丟了一個視你如命的人, 你辜負了陪你走過的冬春, 讓我余生還怎敢把愛相信, 只能緊緊封閉那扇愛的門, 你弄丟了一個視你如命的人, 你辜負了陪你走過的冬春, 讓我余生還怎敢把愛相信, 只能緊緊封閉那扇愛的門, 只能緊緊封閉那扇愛的門",angry
9,"秋涼的夜 虔誠的空間 邁踏鬆軟的黑色季節 悄無聲息的從前, 白日已枯萎 平和地面對 牽絆昨日的懺悔麻醉 不滅的心碎, 睡不著的夜裡 遊動者的聲息 命中註定需要愛你 滋養我們的基因, 穿行你的身體 撫醒你的眼睛 體味你的迷人香氣 給我到黎明, 像鳥兒一樣飛馳在藍天 像鳥兒一樣停靠在樹邊, 掠過了今天 割捨不見芬芳的愛戀, 像鳥兒一樣飛落這稻田 像鳥兒一樣自信在胸前, 迷失了雙眼 吹幹嘴邊血嘯於曠野, 遠方的雷聲 過往的雲聲 愛情就像一陣鐘聲 回蕩心的旅程, 心魂的火焰 滾燙掉時間 恍惚感悟誰的一生 陪伴我的哭聲, 越過生活垃圾 小時候的空氣 衝著天空大口呼吸 刷洗歎息, 只有回到身體 才能找到你 你的腦海圍繞氧氣 搖曳著記憶",happy
10,"點咖啡 配一餐寂寞, 下班後 回空蕩的窩, 慢慢我也習慣了, 這種一成不變的生活, 約朋友 徹夜狂歡後, 就以為 能趕走失落, 誰知預支的快樂, 用完之後 變加倍的疼痛, 這城市大的發瘋, 卻沒有一個能收留我的小角落, 多想你還在, 夜裡有盞燈為我亮著沒關, 多想心裡有個人, 疲憊到癱瘓 也覺得暖, 用全部交換 一句晚安, 裝灑脫能有什麼用, 騙自己騙夠了沒有, 每天投身在工作, 想要遺忘 那些想念的痛, 這城市大的發瘋, 卻沒有一個能收留我 讓我安心的角落, 多想你還在, 夜裡有盞燈為我亮著沒關, 多想心裡有個人, 疲憊到癱瘓 也覺得暖, 用全部交換 換一句晚安, 用什麼去打敗 走在擁擠人海的孤獨感, 回憶裡找不回幸福的殘骸, 置身事外, 多想你還在 能一起分享 最平凡的早餐, 任憑世界 地覆天翻 也不分開, 若寂寞是場漂泊 你是我永遠的靠岸, 無處終結的孤單, 如果你還在 還在 還在",sad
11,"當我再看見你的那天, 你的眼神已不再像從前, 你只淡淡的看了我一眼, 轉身就走遠, 當你離去的那個笑臉, 留下的是我酸楚的夜, 我還在想著你我的從前, 殘留的誓言, 也許在你我之間已經不再愛戀, 可我還深深為你擔憂著明天, 希望過得比我幸福 過的沒有危險, 就當我們從前是一回最美的考驗, 你變得不再像從前, 不再有諾言不再有任何改變, 我只有深深祝願你的明天, 傷痛不會再多一些, 你變得不再像從前, 不再有諾言只有一個悲劇重演, 其實當你發現傷感的邊緣, 畢竟我們曾經愛過每一天",sad
12,"在蓋棺一剎地獄望上天堂, 問你還是否尚有未了願向上帝講, 何不早幾秒埋頭苦幹, 習慣俯首投降, 臨死卻要沮喪, 若有多一趟活著又再啟航, 踏上奇妙島盡努力發掘勝地拜訪, 離開這一套恆常境況, 做個洶湧後浪從苦海中茁壯, 每日吃飯然後睡覺生活在墳墓, 負過了的情人都很久不見面在等她一天給你送花圈, 明日卻留戀一出去會有新發現, 命運不必這麼早結算, 被困於灰網寂寞令你抓狂, 沒有存在感便對著鏡內對自我講, 垂死的掙扎成為精鋼, 尚有不死願望, 何不本死對抗, 每日吃飯然後睡覺生活在墳墓, 負過了的情人都很久不見面在等她一天給你送花圈, 明日卻留戀一出去會有新發現, 命運不必這麼早結算, 你是向著世界運轉, 你是背著世界逆轉, 奮鬥跟跳船, 人生總可以選, 每日吃飯然後睡覺生活在墳墓, 負過了的情人都很久不見面在等她一天給你送花圈, 明日卻留戀一出去會有新發現, 命運不必這麼早結算, 每日繼續循環下去等待入墳墓, 鬧意見的良朋都很久不見面在等他一天給你送花圈, 還未變遺體怎可以太過早武斷, 復活島的軌跡不太遠",non
